Fecha,Docto,Folio,TipoMovimiento,Almacen,Entradas,Salidas,Existencias,CostoUnitario,CantPorCostear,Capas,CodigoProducto,DescripcionProducto,Unidad,Últ.Compra,ControlAlmacen,MinStock,MaxStock,ExistenciaTotal
28/Oct/2019,RECEP00256,3470,Compras,1,2790.0,0.0,5306.16,2.47312,0.0,0.0,AL8020-23,ALAMBRE 8020 CAL.23,MT,18/Sep/2023,D,697.5,1395.0,2157.44
22/Oct/2019,RECEP00232,3165,Compras,1,2790.0,0.0,2874.16,2.47312,0.0,0.0,AL8020-23,ALAMBRE 8020 CAL.23,MT,18/Sep/2023,D,697.5,1395.0,2157.44
08/Oct/2019,RECEP00164,2203,Compras,1,465.0,0.0,466.56,2.47312,0.0,0.0,AL8020-23,ALAMBRE 8020 CAL.23,MT,18/Sep/2023,D,697.5,1395.0,2157.44
11/Oct/2019,RECEP00185,2533,Compras,1,20.0,0.0,23.0,490.0,0.0,0.0,BCERCOCMM3,BLOCK CONEXION P/ CABEZA MAR 3 TERM,PZ,13/Feb/2023,I,20.0,40.0,20.0
05/Dic/2019,RECEP00414,6175,Compras,1,10.0,0.0,10.0,22.0,0.0,0.0,BAY2G1/4,"BAYONETA 2 GIROS 1/4""ØX17.5MM",PZ,30/Ago/2023,G,30.0,60.0,50.0
18/Dic/2019,RECEP00477,6857,Compras,1,60.0,0.0,65.44,750.0,0.0,0.0,MIC-0.4,MICA RIGIDA GRIS 1MT X 1.20 MT,M2,30/Ago/2023,Q,10.0,40.0,172.297
27/Nov/2019,RECEP00386,5495,Compras,1,12.0,0.0,15.38,750.0,0.0,0.0,MIC-0.4,MICA RIGIDA GRIS 1MT X 1.20 MT,M2,30/Ago/2023,Q,10.0,40.0,172.297
26/Nov/2019,RECEP00384,5469,Compras,1,12.0,0.0,15.38,750.0,0.0,0.0,MIC-0.4,MICA RIGIDA GRIS 1MT X 1.20 MT,M2,30/Ago/2023,Q,10.0,40.0,172.297
10/Sep/2019,RECEP00048,411,Compras,1,24.0,0.0,30.38,850.0,0.0,0.0,MIC-0.4,MICA RIGIDA GRIS 1MT X 1.20 MT,M2,30/Ago/2023,Q,10.0,40.0,172.297
08/Nov/2019,RECEP00312,4395,Compras,1,116.0,0.0,143.64,18.27586,0.0,0.0,AL8020-14,ALAMBRE 8020 CAL.14,MT,18/Sep/2023,Stock máximo:,50.0,40.0,359.4009
28/Oct/2019,RECEP00254,3468,Compras,1,122.0,0.0,250.0,20.93,0.0,0.0,TUINOX5/16T304C,"TUBING ACERO INOX TIPO 304 - 5/16"" Ø",MT,19/Oct/2023,P,18.0,60.0,177.5
16/Dic/2019,RECEP00464,6727,Compras,1,20.0,0.0,32.0,360.0,0.0,0.0,BUSLAT3/4X1/2X1,"BUSHING DE LATON 3/4X1/2X1""	TUS""",PZ,29/Sep/2023,G,20.0,50.0,50.0
09/Sep/2019,RECEP00042,342,Compras,1,8.0,0.0,86.0,300.0,0.0,0.0,BAY161/4,"BAYONETA 1 GIRO 1/4""ØX17.5MM",PZ,18/Dic/2020,G,30.0,60.0,70.0
30/Ago/2019,RECEP00035,298,Compras,1,10.0,0.0,78.0,600.0,0.0,0.0,BAY161/4,"BAYONETA 1 GIRO 1/4""ØX17.5MM",PZ,18/Dic/2020,G,30.0,60.0,70.0
06/Sep/2019,RECEP00030,266,Compras,1,10.0,0.0,78.0,600.0,0.0,0.0,BAY161/4,"BAYONETA 1 GIRO 1/4""ØX17.5MM",PZ,18/Dic/2020,G,30.0,60.0,70.0
17/Dic/2019,RECEP00468,6803,Compras,1,20.0,0.0,24.0,860.0,0.0,0.0,BCERCOCM4,BLOCK CONEXION P/ CABEZA MAR 4 TERM,PZ,29/Ago/2022,I,10.0,20.0,13.0
