Fecha,Docto,Folio,TipoMovimiento,Almacen,Entradas,Salidas,Existencias,CostoUnitario,CantPorCostear,Capas,CodigoProducto,DescripcionProducto,Unidad,Últ.Compra,ControlAlmacen,MinStock,MaxStock,ExistenciaTotal
29/Oct/2019,F30065,3638,Ventas,1,0,15.0,561.0,22.95,0,0.0,CABFV-12200°,CABLE FV C/SILICON CAL.12 200°,MT,16/Ene/2023,C,100.0,200.0,94.0
24/Sep/2019,NV00100,1321,Ventas,1,0,2.0,576.0,22.95,0,0.0,CABFV-12200°,CABLE FV C/SILICON CAL.12 200°,MT,16/Ene/2023,C,100.0,200.0,94.0
23/Sep/2019,NV00096,1247,Ventas,1,0,1.0,578.0,22.95,0,0.0,CABFV-12200°,CABLE FV C/SILICON CAL.12 200°,MT,16/Ene/2023,C,100.0,200.0,94.0
08/Oct/2019,F29835,2211,Ventas,1,0,2.0,464.56,2.47312,0,0.0,AL8020-23,ALAMBRE 8020 CAL.23,MT,18/Sep/2023,D,697.5,1395.0,2157.44
26/Sep/2019,F29664,1453,Ventas,1,0,5.0,33.56,10000.0,0,0.0,AL8020-23,ALAMBRE 8020 CAL.23,MT,18/Sep/2023,D,697.5,1395.0,2157.44
11/Nov/2019,0000000002,4456,Ventas,1,0,10.0,103.0,18.0,0,0.0,CABFV-18500°,CABLE FV CAL.18-500°,M,08/Nov/2023,MP,0.0,0.0,394.4
12/Sep/2019,F29494,629,Ventas,1,0,20.0,119.0,30.0,0,0.0,TOPE14-16,TOPE A.T. CAL 16-14,PZ,24/Jul/2023,MP,0.0,0.0,166.0
09/Sep/2019,F29443,327,Ventas,1,0,20.0,139.0,30.0,0,0.0,TOPE14-16,TOPE A.T. CAL 16-14,PZ,24/Jul/2023,MP,0.0,0.0,166.0
20/Dic/2019,F30651,6960,Ventas,1,0,1.0,64.44,750.0,0,0.0,MIC-0.4,MICA RIGIDA GRIS 1MT X 1.20 MT,M2,30/Ago/2023,Q,10.0,40.0,172.297
12/Nov/2019,F30224,4553,Ventas,1,0,116.0,27.64,18.27586,0,0.0,AL8020-14,ALAMBRE 8020 CAL.14,MT,18/Sep/2023,Stock máximo:,50.0,40.0,359.4009
11/Nov/2019,F30217,4506,Ventas,1,0,2.0,141.64,18.27586,0,0.0,AL8020-14,ALAMBRE 8020 CAL.14,MT,18/Sep/2023,Stock máximo:,50.0,40.0,359.4009
08/Oct/2019,F29835,2211,Ventas,1,0,2.0,27.64,0.0,0,0.0,AL8020-14,ALAMBRE 8020 CAL.14,MT,18/Sep/2023,Stock máximo:,50.0,40.0,359.4009
12/Sep/2019,F29496,631,Ventas,1,0,1.0,173.9,28.95,0,0.0,TUINOX5/16T304C,"TUBING ACERO INOX TIPO 304 - 5/16"" Ø",MT,19/Oct/2023,P,18.0,60.0,177.5
23/Dic/2019,F30680,7061,Ventas,1,0,4.0,349.5,19.0,0,0.0,CABFV-14250°,CABLE FV CAL.14-250°,MT,05/Oct/2023,C,100.0,200.0,320.0
17/Dic/2019,F30603,6795,Ventas,1,0,3.0,353.5,19.0,0,0.0,CABFV-14250°,CABLE FV CAL.14-250°,MT,05/Oct/2023,C,100.0,200.0,320.0
25/Nov/2019,0000000080,5385,Ventas,1,0,1.0,398.5,19.0,0,0.0,CABFV-14250°,CABLE FV CAL.14-250°,MT,05/Oct/2023,C,100.0,200.0,320.0
14/Nov/2019,0000000027,4776,Ventas,1,0,2.0,399.5,19.0,0,0.0,CABFV-14250°,CABLE FV CAL.14-250°,MT,05/Oct/2023,C,100.0,200.0,320.0
12/Nov/2019,0000000010,4561,Ventas,1,0,7.0,402.5,19.0,0,0.0,CABFV-14250°,CABLE FV CAL.14-250°,MT,05/Oct/2023,C,100.0,200.0,320.0
11/Nov/2019,NV00108,4496,Ventas,1,0,1.0,409.5,19.0,0,0.0,CABFV-14250°,CABLE FV CAL.14-250°,MT,05/Oct/2023,C,100.0,200.0,320.0
21/Oct/2019,F29976,3082,Ventas,1,0,3.0,425.5,19.0,0,0.0,CABFV-14250°,CABLE FV CAL.14-250°,MT,05/Oct/2023,C,100.0,200.0,320.0
21/Oct/2019,F29969,3047,Ventas,1,0,10.0,428.5,19.0,0,0.0,CABFV-14250°,CABLE FV CAL.14-250°,MT,05/Oct/2023,C,100.0,200.0,320.0
16/Oct/2019,F29924,2766,Ventas,1,0,2.0,438.5,19.0,0,0.0,CABFV-14250°,CABLE FV CAL.14-250°,MT,05/Oct/2023,C,100.0,200.0,320.0
10/Oct/2019,F29871,2439,Ventas,1,0,2.0,444.5,19.0,0,0.0,CABFV-14250°,CABLE FV CAL.14-250°,MT,05/Oct/2023,C,100.0,200.0,320.0
04/Oct/2019,F29800,2020,Ventas,1,0,20.0,446.5,19.0,0,0.0,CABFV-14250°,CABLE FV CAL.14-250°,MT,05/Oct/2023,C,100.0,200.0,320.0
02/Oct/2019,NV00104,1816,Ventas,1,0,3.0,466.5,19.0,0,0.0,CABFV-14250°,CABLE FV CAL.14-250°,MT,05/Oct/2023,C,100.0,200.0,320.0
18/Sep/2019,NV00086,855,Ventas,1,0,3.0,471.5,19.0,0,0.0,CABFV-14250°,CABLE FV CAL.14-250°,MT,05/Oct/2023,C,100.0,200.0,320.0
12/Sep/2019,F29495,630,Ventas,1,0,10.0,521.5,19.0,0,0.0,CABFV-14250°,CABLE FV CAL.14-250°,MT,05/Oct/2023,C,100.0,200.0,320.0
20/Dic/2019,F30656,6981,Ventas,1,0,2.0,11.45,13400.0,0,0.0,AL8020-28,ALAMBRE 8020 CAL.28,MT,17/Ago/2023,D,2247.0,4494.0,17435.68
02/Dic/2019,0000000111,5863,Ventas,1,0,1171.58,2812.19,2.70816,0,0.0,AL8020-22,ALAMBRE 8020 CAL.22,MT,31/Oct/2023,D,553.5,1107.0,2977.4222
19/Nov/2019,0000000043,5028,Ventas,1,0,4.0,4058.77,2.70577,0,0.0,AL8020-22,ALAMBRE 8020 CAL.22,MT,31/Oct/2023,D,553.5,1107.0,2977.4222
15/Nov/2019,NV00114,4861,Ventas,1,0,2.0,4062.77,2.70577,0,0.0,AL8020-22,ALAMBRE 8020 CAL.22,MT,31/Oct/2023,D,553.5,1107.0,2977.4222
07/Nov/2019,F30181,4251,Ventas,1,0,5.0,4109.27,2.70577,0,0.0,AL8020-22,ALAMBRE 8020 CAL.22,MT,31/Oct/2023,D,553.5,1107.0,2977.4222
04/Nov/2019,F30137,4041,Ventas,1,0,4.0,4480.27,2.70577,0,0.0,AL8020-22,ALAMBRE 8020 CAL.22,MT,31/Oct/2023,D,553.5,1107.0,2977.4222
29/Oct/2019,F30066,3643,Ventas,1,0,2.0,4494.27,2.70577,0,0.0,AL8020-22,ALAMBRE 8020 CAL.22,MT,31/Oct/2023,D,553.5,1107.0,2977.4222
24/Oct/2019,F30030,3345,Ventas,1,0,5.0,4640.58,2.71003,0,0.0,AL8020-22,ALAMBRE 8020 CAL.22,MT,31/Oct/2023,D,553.5,1107.0,2977.4222
